순번,업체명,선정년도,지방청,주소,전화번호,팩스번호,업종,기업규모,주생산품목,연구분야
1,(유)아홉,2020,서울,서울특별시 중구 퇴계로22길,02-556-4801,02-556-4802,정보처리,중소기업,,
2,(주) 게임듀오,2022,서울,서울특별시 마포구 양화로12길,07088651186,00-000-0000,게임S/W,중소기업,,
3,(주) 게임엔,2022,서울,서울특별시 강남구 논현로,025017893,025017894,정보처리,중소기업,,
4,(주) 드라마앤컴퍼니,2015,서울,서울특별시 강남구 테헤란로,02-556-4202,02-558-4202,정보처리,중소기업,,
5,(주) 디앤지솔루션,2022,서울,서울특별시 금천구 가산디지털1로,0263327798,0263327795,전자,중소기업,,
6,(주) 라드씨엔에스,2022,서울,서울특별시 금천구 가산디지털1로,0269475900,0269475914,정보처리,중소기업,,
7,(주) 라임에스엔씨,2022,서울,서울특별시 금천구 벚꽃로,028582113,0262246213,정보처리,중소기업,,
8,(주) 레브잇,2022,서울,서울특별시 관악구 남부순환로220길,01068631341,0218774210,정보처리,중소기업,,
9,(주) 룰루랩,2022,서울,서울특별시 강남구 도산대로,0234463727,025477722,정보처리,중소기업,,
10,(주) 브로나인,2022,서울,서울특별시 강남구 테헤란로34길,0269566660,0269566667,전기,중소기업,,
11,(주) 싸이젠텍,2022,서울,서울특별시 서초구 강남대로101안길,0234437237,0234437232,기계,중소기업,,
12,(주) 앤서시스템,2022,서울,서울특별시 금천구 가산디지털1로,01095456091,027124523,정보처리,중소기업,,
13,(주) 에이펀인터렉티브,2022,서울,서울특별시 영등포구 선유로49길,07086766147,05043964730,애니메이션,중소기업,,
14,(주) 엑스게이트,2022,서울,서울특별시 강남구 영동대로85길,07040346425,025571778,정보처리,중소기업,,
15,(주) 엘젠,2022,서울,서울특별시 강남구 선릉로92길,0269535135,0269535136,정보처리,중소기업,,
16,(주) 이노핀,2022,서울,서울특별시 서초구 강남대로,027195500,05041706947,정보처리,중소기업,,
17,(주) 이스트게임즈,2022,서울,서울특별시 서초구 반포대로,07088508344,028841500,게임S/W,중소기업,,
18,(주) 큐엠아이티,2022,서울,서울특별시 서초구 강남대로,01026117218,05077127722,정보처리,중소기업,,
19,(주) 파이온코퍼레이션,2022,서울,서울특별시 강남구 삼성로85길,0262041731,03033444402,정보처리,중소기업,,
20,(주) 휴템,2022,서울,서울특별시 금천구 가산디지털2로,028552277,028552276,기계,중소기업,,
21,(주)가드텍,2021,서울,서울특별시 구로구 디지털로,022-101-9425,022-101-9440,통신기기,중소기업,,
22,(주)가온아이,2022,서울,서울특별시 강남구 봉은사로,0221405700,0221405888,정보처리,중소기업,,
23,(주)같다,2021,서울,서울특별시 중구 청계천로,010-9201-1171,070-8668-7777,정보처리,중소기업,,
24,(주)거봉,2012,서울,서울특별시 금천구 서부샛길,02-830-6356,02-2108-4590,전자,중소기업,,
25,(주)게임스프링,2019,서울,서울특별시 강남구 강남대로84길,02-564-8525,02-564-8525,게임S/W,중소기업,,
26,"(주)겟차(getcha Co. , Ltd.)",2022,서울,서울특별시 강남구 테헤란로,0218000456,021800456,정보처리,중소기업,,
27,(주)경우시스테크,2020,서울,서울특별시 금천구 디지털로9길,02-985-8085,02-985-8087,전자,중소기업,,
28,(주)고려기연,2010,서울,서울특별시 금천구 서부샛길,02-2087-3500,02-2087-3501,기계,중소기업,,
29,(주)골드팡,2021,서울,서울특별시 종로구 돈화문로5가길,070-4827-1952,070-8668-2265,생활용품,중소기업,,
30,(주)공진기공,1999,서울,서울특별시 구로구 경서로9길,02-2684-5847,02-2687-5847,기계,중소기업,해당사항없음,
31,(주)교림소프트,2021,서울,서울특별시 구로구 디지털로33길,0269540901,0269540902,정보처리,중소기업,,
32,(주)구름네트웍스,2017,서울,서울특별시 광진구 광나루로36길,024475100,026-008-9680,정보처리,중소기업,,
33,(주)그렙,2019,서울,서울특별시 서초구 강남대로,02-539-1882,0303-3441-1882,정보처리,중소기업,,
34,(주)그리드원,2018,서울,서울특별시 서초구 남부순환로347길,02-2058-2220,02-2058-2221,정보처리,중소기업,,
35,(주)그린자이언트,2020,서울,서울특별시 금천구 디지털로10길,028550933,028550933,통신기기,중소기업,,
36,(주)금부치아,2011,서울,서울특별시 종로구 창경궁로16가길,02-3673-1864,02-3673-1865,생활용품,중소기업,,
37,(주)긱블,2020,서울,서울특별시 성동구 성수이로,02--499--7177,020000000,생활용품,중소기업,,
38,(주)김캐디,2021,서울,서울특별시 강남구 역삼로,021-811-0628,021-811-0628,정보처리,중소기업,,
39,(주)깃플,2020,서울,서울특별시 영등포구 여의나루로4길,010-3764-0107,026-280-9539,정보처리,중소기업,,
40,(주)나누고,2020,서울,서울특별시 영등포구 버드나루로,070-4616-5254,070-8673-5254,정보처리,중소기업,데이터베이스및온라인정보제공업,
41,(주)나딕게임즈,2021,서울,서울특별시 강남구 논현로79길,02-3454-1426,02-3454-1422,게임S/W,중소기업,,
42,(주)나루아이,2020,서울,서울특별시 구로구 디지털로33길,0262381500,0262381502,정보처리,중소기업,,
43,(주)나인엠인터랙티브,2017,서울,서울특별시 강남구 테헤란로43길,025015032,025015033,게임S/W,중소기업,,
44,(주)나인코퍼레이션,2019,서울,서울특별시 강남구 테헤란로,070-4243-4776,026-005-9414,정보처리,중소기업,,
45,(주)네오바이오텍,2018,서울,서울특별시 구로구 디지털로27길,02-582-2885,02-582-2883,의료의약,중소기업,,
46,(주)네트워크전자,2018,서울,서울특별시 금천구 가산디지털1로,026-341-8721,028590229,전자,중소기업,,
47,(주)넥솔시스템,2021,서울,서울특별시 금천구 가산디지털2로,02-2107-7400,02-2107-7420,정보처리,중소기업,,
48,(주)넥스티브,2020,서울,서울특별시 강남구 봉은사로68길,02-464-3570,02-555-3570,정보처리,중소기업,,
